一一	1.1
余阙	34112.42435
余阙	34112.424354
余阶	34112.52343
余阶	34112.523432
余际昌	34112.52112.8181
余际昌	34112.521124.8181
余集	34112.3247
余集	34112.324712
余霖	34112.16121
余霖	34112.161212
余青	34112.71
余青	34112.712511
余靖	34112.617
余靖	34112.617121
余韶	34112.61815
余韶	34112.618150
余飏	34112.353453
余鹏	34112.36369
余鹏	34112.363696
余鹏翀	34112.36369.0480
余鹏翀	34112.363696.04802
余黎青萍	34112.92353.71.174412
余黎青萍	34112.923534.712511.174412
余鼎	34112.8251
余鼎	34112.825135
佚名	32311.90
佚名	323114.9080
佚明	32311.8136
佚明	323114.8136
佛伦泰	3257.32343.732
佛伦泰	325732.323435.732414
佛住	3257.324
佛住	325732.32411
佛作舟	3257.32312.93
佛作舟	325732.323121.93
佛图澄	3257.259.4456
佛图澄	325732.259041.445611
佛契哥特	3257.7153.1802.3119
佛契哥特	325732.715314.180212.311914
佛尼埒	3257.0735.1939
佛尼埒	325732.0735.193914
佛库伦	3257.477.32343
佛库伦	325732.4777.323435
佛朗哥	3257.40336.1802
佛朗哥	325732.40336.180212
佛洛依德	3257.4490.32413.3312
佛洛依德	325732.449080.324134.331285
佛眉	3257.52138
佛眉	325732.521382
佛罗伊斯	3257.849.32013.7033
佛罗伊斯	325732.8490.32013.7033
佛羲	3257.431194
佛羲	325732.431194
佛能	3257.5
佛能	325732.542515
佛芸保	3257.171154.3280
佛芸保	325732.171154.328012
佛莲	3257.177
佛莲	325732.177744
佛陀禅师	3257.5246.6243.231
佛陀禅师	325732.524635.624382.23125
佟世南	32904.185.1225
佟世南	329044.185.122542
佟世思	32904.185.836
佟世思	329044.185.8365
佟丽娅	32904.125425.59122
佟丽娅	329044.125424.59122
佟养性	32904.4332.49
佟养性	329044.4332.49371
佟养正	32904.4332.121
佟养正	329044.4332.121
佟养甲	32904.4332.83
佟养甲	329044.4332.83
佟养真	32904.4332.12273
佟养真	329044.4332.122734
佟冬	32904.904
佟冬	329044.9044
佟凤彩	32904.3554.391
佟凤彩	329044.3554.391233
佟国器	32904.2.80801
佟国器	329044.251141.808010
佟国正	32904.2.121
佟国正	329044.251141.121
佟国珑	32904.2.11135
佟国珑	329044.251141.111354
佟国纲	32904.2.55253
佟国纲	329044.251141.552534
佟国维	32904.2.5532
佟国维	329044.251141.553241
佟国聘	32904.2.7283
佟国聘	329044.251141.728315
佟国鼐	32904.2.5382
佟国鼐	329044.251141.538255
佟图赖	32904.259.180238
佟图赖	329044.259041.180238
佟士明	32904.19.8136
佟士明	329044.19.8136
佟大中	32904.134.802
佟大中	329044.134.802
佟大为	32904.134.4
佟大为	329044.134.4354
佟岩	32904.2014
佟岩	329044.2014
佟岱	32904.321540
佟岱	329044.321540
佟忠义	32904.80265.434
佟忠义	329044.80265.434
佟晨洁	32904.8113.4419
佟晨洁	329044.811314.441980
佟立章	32904.61.61811
佟立章	329044.61.618112
佟翔天	32904.4304.1134
佟翔天	329044.4304.1134
佟铁鑫	32904.913.9191
佟铁鑫	329044.913114.919191
佟韦	32904.1152
佟韦	329044.1152
佟麟阁	32904.4768.429
佟麟阁	329044.476892.429080
你知不知道你有多重要	32.9480.1324.9480.4338.32.13.909.318.7
你知不知道你有多重要	323524.9480.1324.9480.433824.323524.132511.9090.318121.7459
佩乌塞斯塔斯	323515.3551.46781.7033.1917.7033
佩乌塞斯塔斯	323515.3551.467819.7033.191794.7033
佩佩	323515.323515
佩儿	323515.35
佩内洛普	323515.2534.4490.4322
佩内洛普	323515.2534.449080.432281
佩内洛普克鲁兹	323515.2534.4490.4322.12803.9581.43565
佩内洛普克鲁兹	323515.2534.449080.432281.128035.9581.435656
佩尔狄卡斯	323515.3523.3869.2124.7033
佩尔狄卡斯	323515.35234.3869.2124.7033
佩尔科夫斯基	323515.3523.924.1134.7033.701
佩尔科夫斯基	323515.35234.924412.1134.7033.7019
佩尔迪卡斯	323515.3523.8345.2124.7033
佩尔迪卡斯	323515.35234.83454.2124.7033
佩德罗阿尔莫多瓦	323515.3312.849.5218.3523.1781.909.79
佩德罗阿尔莫多瓦	323515.331285.8490.521802.35234.178114.9090.79
佩斯	323515.7033
佩普施	323515.4322.6031
佩普施	323515.432281.603155
佩普索乌	323515.4322.1245.3551
佩普索乌	323515.432281.124554.3551
佩格	323515.1290
佩格	323515.129080
佩特洛娃	323515.3119.4490.591
佩特洛娃	323515.311914.449080.591919
佩特洛尼乌斯	323515.3119.4490.0735.3551.7033
佩特洛尼乌斯	323515.311914.449080.0735.3551.7033
佩特罗夫	323515.3119.849.1134
佩特罗夫	323515.311914.8490.1134
佩班娜塔	323515.1143.5951.1917
佩班娜塔	323515.114311.595152.191794
佩皮一世	323515.532.1.185
佩皮一世	323515.53254.1.185
佩绍托	323515.5553.10315
佩绍托	323515.555380.10315
佩罗塔	323515.849.1917
佩罗塔	323515.8490.191794
佩舍尔	323515.341120.3523
佩舍尔	323515.341120.35234
佩蒂特	323515.17612.3119
佩蒂特	323515.176125.311914
佩蒂翁	323515.17612.34540
佩蒂翁	323515.176125.345404
佩蓓图	323515.17326.259
佩蓓图	323515.173260.259041
佩贾斯托贾科维奇	323515.742.7033.10315.742.924.5532.13418
佩贾斯托贾科维奇	323515.7428.7033.10315.7428.924412.553241.134182
佩顿	323515.1525
佩顿	323515.152518
佳仁	3219.3211
佳仁	321919.3211
佳林	3219.1212
佳林	321919.1212
佳林库普曼斯	3219.1212.477.4322.8184.7033
佳林库普曼斯	321919.1212.4777.432281.818454.7033
佼长生	3266.3154.371
佼长生	326634.3154.371
使西域记	3218.74.1918.405
使西域记	321804.74.191804.40515
侃侃	32803.32803
侃侃	328035.328035
侍其曙	32191.70.81841
侍其曙	321914.70.818411
侍晓云	32191.81153.1154
侍晓云	321914.811535.1154
依克唐阿	32413.12803.4701.5218
依克唐阿	324134.128035.470120.521802
依夫	32413.1134
依夫	324134.1134
依娜	32413.5951
依娜	324134.595152
依巴谷	32413.5215.94
依巴谷	324134.5215.94
依桐	32413.12251
依桐	324134.122510
依田熹家	32413.83.79806.46
依田熹家	324134.83.798069.4613
依田纪基	32413.83.555.701
依田纪基	324134.83.55515.7019
依耶塔	32413.7252.1917
依耶塔	324134.7252.191794
依耶芙特	32413.7252.17113.3119
依耶芙特	324134.7252.171134.311914
依萌	32413.178136
依萌	324134.178136
依达	32413.13445
依达	324134.134454
侣伦	32808.32343
侣伦	328080.323435
侧田	3228.83
侧田	322822.83
侬智高	3245.948.418
侬智高	324534.948081.4180
侯一位	32519.1.3261
侯一位	325194.1.3261
侯一民	32519.1.5151
侯一民	325194.1.51515
侯一麟	32519.1.4768
侯一麟	325194.1.476892
侯七乘	32519.15.31221
侯七乘	325194.15.312214
侯万山	32519.153.20
侯万山	325194.153.20
侯万春	32519.153.73
侯万春	325194.153.7381
侯三奇	32519.111.13418
侯三奇	325194.111.134182
侯丕勋	32519.13241.80285
侯丕勋	325194.13241.802853
侯世延	32519.185.32155
侯世延	325194.185.321554
侯世甫	32519.185.12511
侯世甫	325194.185.125114
侯世禄	32519.185.620
侯世禄	325194.185.620124
侯世秋	32519.185.926
侯世秋	325194.185.9269
侯义	32519.434
侯义	325194.434
侯之担	32519.454.10811
侯之担	325194.454.10811
侯之缇	32519.454.55817
侯之缇	325194.454.558176
侯于赵	32519.112.7634
侯于赵	325194.112.7634
侯云升	32519.1154.3132
侯云升	325194.1154.3132
侯云松	32519.1154.1234
侯云松	325194.1154.123454
侯云登	32519.1154.561
侯云登	325194.1154.561801
侯云锦	32519.1154.9138
侯云锦	325194.1154.913815
侯仁之	32519.3211.454
侯仁之	325194.3211.454
侯仁宝	32519.3211.4611
侯仁宝	325194.3211.46114
侯仁朔	32519.3211.435236
侯仁朔	325194.3211.435236
侯从远	32519.3434.11354
侯从远	325194.3434.113544
侯令钦	32519.34454.91353
侯令钦	325194.34454.913534
侯仲庄	32519.32802.4719
侯仲庄	325194.32802.4719
侯伟	32519.321152
侯伟	325194.321152
侯伟时	32519.321152.811
侯伟时	325194.321152.81124
侯伯猷	32519.32381.437514
侯伯猷	325194.32381.437514
侯伯琼	32519.32381.1141
侯伯琼	325194.32381.114124
侯伯盛	32519.32381.13553
侯伯盛	325194.32381.135534
侯伯英	32519.32381.172
侯伯英	325194.32381.172514
侯位	32519.3261
侯位	325194.3261
侯佩岑	32519.323515.2034
侯佩岑	325194.323515.203445
侯佩琛	32519.323515.1145
侯佩琛	325194.323515.114512
侯俊山	32519.325430.20
侯俊山	325194.325430.20
侯保	32519.3280
侯保	325194.328012
侯健	32519.3201
侯健	325194.320154
侯兆熊	32519.34153.542519
侯兆熊	325194.341534.542519
侯光中	32519.24.802
侯光中	325194.2435.802
侯光宗	32519.24.46112
侯光宗	325194.2435.461124
侯光昭	32519.24.81538
侯光昭	325194.2435.815380
侯光炯	32519.24.69258
侯光炯	325194.2435.692580
侯克中	32519.12803.802
侯克中	325194.128035.802
侯公	32519.3454
侯公	325194.3454
侯兴域	32519.6434.1918
侯兴域	325194.6434.191804
侯其昌	32519.70.8181
侯其昌	325194.70.8181
侯其袆	32519.70.63115
侯其袆	325194.70.631152
侯册	32519.35351
侯册	325194.35351
侯冕	32519.25113
侯冕	325194.251135
侯华和	32519.32351.9
侯华和	325194.323512.9280
侯华荣	32519.32351.1745
侯华荣	325194.323512.174512
侯占友	32519.2180.1354
侯占友	325194.2180.1354
侯卫东	32519.521.152
侯卫东	325194.521.15234
侯友彰	32519.1354.618113
侯友彰	325194.1354.618113
侯友鹤	32519.1354.4532
侯友鹤	325194.1354.453246
侯叔献	32519.87.12254
侯叔献	325194.8754.122544
侯可	32519.18
侯可	325194.1802
侯史光	32519.8034.24
侯史光	325194.8034.2435
侯吉晖	32519.1980.81457
侯吉晖	325194.1980.814577
侯吉维里	32519.1980.5532.812
侯吉维里	325194.1980.553241.81211
侯君集	32519.01380.3247
侯君集	325194.01380.324712
侯启元	32519.678.1135
侯启元	325194.6780.1135
侯咏	32519.8045
侯咏	325194.804554
侯善业	32519.4324.22
侯善业	325194.432430.22
侯喜瑞	32519.7980.11201
侯喜瑞	325194.7980.112012
侯喻君	32519.80341.01380
侯喻君	325194.803412.01380
侯嘉璠	32519.795.11368
侯嘉璠	325194.795380.113683
侯嘉繙	32519.795.553683
侯嘉繙	325194.795380.553683
侯国栋	32519.2.12152
侯国栋	325194.251141.121524
侯坤	32519.1983
侯坤	325194.1983
侯士伟	32519.19.321152
侯士伟	325194.19.321152
侯士糓	32519.19.796834
侯士糓	325194.19.796834
侯士维	32519.19.5532
侯士维	325194.19.553241
侯士鹗	32519.19.808016
侯士鹗	325194.19.808016
侯复	32519.3181
侯复	325194.318190
侯外庐	32519.902.4767
侯外庐	325194.9024.4767
侯大受	32519.134.394
侯大受	325194.134.394554
侯大苟	32519.134.173580
侯大苟	325194.134.173580
侯天民	32519.1134.5151
侯天民	325194.1134.51515
侯夫人	32519.1134.34
侯夫人	325194.1134.34
侯夷门	32519.157.42
侯夷门	325194.15734.42
侯嬴	32519.41365
侯嬴	325194.413654
侯子重	32519.58.318
侯子重	325194.58.318121
侯孔鹤	32519.585.4532
侯孔鹤	325194.585.453246
侯孚允	32519.3958.5435
侯孚允	325194.3958.5435
侯孝真	32519.19358.12273
侯孝真	325194.19358.122734
侯孝贤	32519.19358.22542
侯孝贤	325194.19358.225428
侯学诗	32519.64.4019
侯学诗	325194.6458.401914
侯宁	32519.4612
侯宁	325194.4612
侯守中	32519.46124.802
侯守中	325194.46124.802
侯守常	32519.46124.242
侯守常	325194.46124.2425
侯安都	32519.465.193
侯安都	325194.4659.193812
侯宏实	32519.46135.464
侯宏实	325194.461354.464414
侯宗古	32519.46112.1280
侯宗古	325194.461124.1280
侯宗贵	32519.46112.8021
侯宗贵	325194.461124.802128
侯定基	32519.467.701
侯定基	325194.4676.7019
侯宝林	32519.4611.1212
侯宝林	325194.46114.1212
侯宝璋	32519.4611.1161
侯宝璋	325194.46114.116182
侯宣多	32519.46181.909
侯宣多	325194.461811.9090
侯家凤	32519.46.3554
侯家凤	325194.4613.3554
侯家声	32519.46.1952
侯家声	325194.4613.195213
侯封	32519.1919
侯封	325194.191914
侯封镐	32519.1919.91418
侯封镐	325194.191914.914180
侯小叔	32519.234.87
侯小叔	325194.234.8754
侯少奎	32519.2343.134199
侯少奎	325194.2343.134199
侯尧封	32519.15313.1919
侯尧封	325194.153135.191914
侯尼勋	32519.0735.80285
侯尼勋	325194.0735.802853
侯崤曾	32519.203411.43252
侯崤曾	325194.203411.432521
侯巧文	32519.12115.66
侯巧文	325194.12115.66
侯希民	32519.3413.5151
侯希民	325194.341325.51515
侯希逸	32519.3413.358034
侯希逸	325194.341325.358034
侯幼珍	32519.5653.11343
侯幼珍	325194.5653.113433
侯庆来	32519.471.168
侯庆来	325194.47134.168
侯应遴	32519.476.689014
侯应遴	325194.4764.689014
侯度	32519.4718
侯度	325194.471854
侯康	32519.470
侯康	325194.470124
侯延宾	32519.32155.4698
侯延宾	325194.321554.469834
侯延年	32519.32155.311
侯延年	325194.321554.311212
侯延广	32519.32155.47
侯延广	325194.321554.47
侯延庆	32519.32155.471
侯延庆	325194.321554.47134
侯廷佩	32519.31954.323515
侯廷佩	325194.31954.323515
侯廷模	32519.31954.1217
侯廷模	325194.31954.121784
侯廷珏	32519.31954.11114
侯廷珏	325194.31954.11114
侯弘实	32519.575.464
侯弘实	325194.5754.464414
侯强	32519.578
侯强	325194.578026
侯彭老	32519.7933.1933
侯彭老	325194.79333.19335
侯德健	32519.3312.3201
侯德健	325194.331285.320154
侯德榜	32519.3312.1261
侯德榜	325194.331285.126160
侯必大	32519.65.134
侯必大	325194.65.134
侯必登	32519.65.561
侯必登	325194.65.561801
侯志斌	32519.1965.6611
侯志斌	325194.1965.661124
侯思止	32519.836.21
侯思止	325194.8365.21
侯思炳	32519.836.69125
侯思炳	325194.8365.691254
侯性	32519.49
侯性	325194.49371
侯恂	32519.49358
侯恂	325194.493581
侯恪	32519.4990
侯恪	325194.499080
侯恺	32519.49205
侯恺	325194.492055
侯意园	32519.618.251
侯意园	325194.618165.251131
侯懋功	32519.125415.12153
侯懋功	325194.125415.12153
侯成	32519.135
侯成	325194.135534
侯成一	32519.135.1
侯成一	325194.135534.1
侯成钢	32519.135.9125
侯成钢	325194.135534.912534
侯执蒲	32519.10354.174414
侯执蒲	325194.10354.174414
侯执躬	32519.10354.995
侯执躬	325194.10354.9957
侯承恩	32519.5853.251345
侯承恩	325194.58534.251345
侯承祖	32519.5853.622
侯承祖	325194.58534.6227
侯挚	32519.103547
侯挚	325194.103547
侯振东	32519.10131.152
侯振东	325194.101314.15234
侯振举	32519.10131.643
侯振举	325194.101314.643412
侯振宇	32519.10131.46112
侯振宇	325194.101314.46112
侯掌	32519.249
侯掌	325194.2497
侯揉	32519.105412
侯揉	325194.105412
侯敏妻	32519.31069.101259
侯敏妻	325194.310690.101259
侯敞	32519.248
侯敞	325194.248090
侯敦化	32519.41589.3235
侯敦化	325194.415890.3235
侯敦本	32519.41589.121
侯敦本	325194.415890.121
侯文和	32519.66.9
侯文和	325194.66.9280
侯文威	32519.66.1315
侯文威	325194.66.131594
侯文庆	32519.66.471
侯文庆	325194.66.47134
侯文曜	32519.66.81043
侯文曜	325194.66.810431
侯文熙	32519.66.7251
侯文熙	325194.66.725159
侯文英	32519.66.172
侯文英	325194.66.172514
侯方域	32519.60.1918
侯方域	325194.60.191804
侯方岩	32519.60.2014
侯方岩	325194.60.2014
侯方岳	32519.60.982
侯方岳	325194.60.9820
侯方崴	32519.60.201314
侯方崴	325194.60.201314
侯方镇	32519.60.91122
侯方镇	325194.60.911224
侯旭	32519.3581
侯旭	325194.3581
侯昌国	32519.8181.2
侯昌国	325194.8181.251141
侯昌铭	32519.8181.9190
侯昌铭	325194.8181.919080
侯映奎	32519.81251.134199
侯映奎	325194.812514.134199
侯昭忠	32519.81538.80265
侯昭忠	325194.815380.80265
侯显	32519.8122
侯显	325194.8122
侯显堂	32519.8122.2419
侯显堂	325194.8122.2419
侯晓	32519.81153
侯晓	325194.811535
侯晓军	32519.81153.45
侯晓军	325194.811535.4577
侯景	32519.814
侯景	325194.814124
侯景贵	32519.814.8021
侯景贵	325194.814124.802128
侯晰	32519.81123
侯晰	325194.811233
侯暨	32519.031
侯暨	325194.031531
侯曜	32519.81043
侯曜	325194.810431
侯朝宗	32519.128.46112
侯朝宗	325194.128116.461124
侯材骥	32519.12123.502
侯材骥	325194.12123.502114
侯杲	32519.8112
侯杲	325194.8112
侯松青	32519.1234.71
侯松青	325194.123454.712511
侯松音	32519.1234.6181
侯松音	325194.123454.6181
侯柱臣	32519.12411.72
侯柱臣	325194.12411.72
侯树涛	32519.125.4473
侯树涛	325194.125414.447314
侯株	32519.12311
侯株	325194.123112
侯桢	32519.12212
侯桢	325194.122128
侯梁	32519.44534
侯梁	325194.445342
侯梦和	32519.12129.9
侯梦和	325194.121290.9280
侯棠	32519.2412
侯棠	325194.2412
侯植	32519.12122
侯植	325194.121227
侯次公	32519.41353.3454
侯次公	325194.413534.3454
侯正卿	32519.121.3530
侯正卿	325194.121.353032
侯毓琳	32519.31064.11121
侯毓琳	325194.310645.111212
侯永昌	32519.455.8181
侯永昌	325194.45534.8181
侯汝承	32519.4459.5853
侯汝承	325194.4459.58534
侯洛齐	32519.4490.6632
侯洛齐	325194.449080.6632
侯涵	32519.44524
侯涵	325194.445242
侯淑钱	32519.44875.911
侯淑钱	325194.448754.911154
侯深	32519.4445
侯深	325194.444512
侯清	32519.4471
侯清	325194.447121
侯渊	32519.44368
侯渊	325194.443682
侯湘	32519.441282
侯湘	325194.441282
侯湘婷	32519.441282.5941
侯湘婷	325194.441282.594112
侯炜	32519.6911
侯炜	325194.691152
侯煜洲	32519.69816.44434
侯煜洲	325194.698161.444342
侯牧人	32519.3190.34
侯牧人	325194.3190.34
侯玄涵	32519.4156.44524
侯玄涵	325194.4156.445242
侯玉山	32519.114.20
侯玉山	325194.114.20
侯玉田	32519.114.83
侯玉田	325194.114.83
侯王宾	32519.11.4698
侯王宾	325194.11.469834
侯玑	32519.1135
侯玑	325194.1135
侯琎	32519.1178
侯琎	325194.117844
侯琚	32519.1107
侯琚	325194.110710
侯瑱	32519.111224
侯瑱	325194.111224
侯瑾	32519.1118
侯瑾	325194.1118
侯璋森	32519.1161.121212
侯璋森	325194.116182.121212
侯甬坚	32519.542512.225
侯甬坚	325194.542512.225419
侯畐	32519.18083
侯畐	325194.18083
侯白	32519.381
侯白	325194.381
侯益	32519.43348
侯益	325194.433484
侯直孟	32519.1227.588
侯直孟	325194.1227.5884
侯相	32519.1282
侯相	325194.1282
侯真	32519.12273
侯真	325194.122734
侯睿	32519.878
侯睿	325194.8782
侯祖荣	32519.622.1745
侯祖荣	325194.6227.174512
侯祥玲	32519.624.11344
侯祥玲	325194.62432.113444
侯祥麟	32519.624.4768
侯祥麟	325194.62432.476892
侯福俊	32519.621.325430
侯福俊	325194.621803.325430
侯端	32519.6120
侯端	325194.612012
侯繇	32519.39923
侯繇	325194.399234
侯纶	32519.553435
侯纶	325194.553435
侯细	32519.558
侯细	325194.5583
侯绍瀛	32519.5553.444134
侯绍瀛	325194.555380.444134
侯缄	32519.55131
侯缄	325194.551314
侯美仪	32519.431.32434
侯美仪	325194.431114.32434
侯翰琦	32519.128114.11134
侯翰琦	325194.128114.111342
侯翼	32519.048
侯翼	325194.048314
侯耀华	32519.24350.32351
侯耀华	325194.243501.323512
侯耀文	32519.24350.66
侯耀文	325194.243501.66
侯肇俊	32519.679.325430
侯肇俊	325194.679001.325430
侯肇基	32519.679.701
侯肇基	325194.679001.7019
侯肇源	32519.679.44133
侯肇源	325194.679001.441334
侯胜亮	32519.363.4135
侯胜亮	325194.36371.4135
侯腾	32519.36435
侯腾	325194.364350
侯自强	32519.382.578
侯自强	325194.382.578026
侯艮阳	32519.03.528
侯艮阳	325194.03.5281
侯良柱	32519.403.12411
侯良柱	325194.403.12411
侯芝	32519.17454
侯芝	325194.17454
侯芝英	32519.17454.172
侯芝英	325194.17454.172514
侯芭	32519.175215
侯芭	325194.175215
侯若谷	32519.1713.94
侯若谷	325194.171380.94
侯英茂	32519.172.171354
侯英茂	325194.172514.171354
侯荷僧	32519.1732.324321
侯荷僧	325194.173212.324321
侯莫陈利用	32519.1781.5215.922.351
侯莫陈利用	325194.178114.521524.9222.35112
侯莫陈崇	32519.1781.5215.204
侯莫陈崇	325194.178114.521524.204614
侯莫陈悦	32519.1781.5215.4943
侯莫陈悦	325194.178114.521524.494385
侯莫陈相	32519.1781.5215.1282
侯莫陈相	325194.178114.521524.1282
侯莫陈顺	32519.1781.5215.3221
侯莫陈顺	325194.178114.521524.322138
侯蒙	32519.17451
侯蒙	325194.174513
侯虎虎	32519.873.873
侯虎虎	325194.8735.8735
侯行果	32519.3311.8112
侯行果	325194.33112.8112
侯袭爵	32519.135344.398
侯袭爵	325194.135344.398404
侯裕基	32519.639.701
侯裕基	325194.6394.7019
侯裕宽	32519.639.4617
侯裕宽	325194.6394.461725
侯裕田	32519.639.83
侯裕田	325194.6394.83
侯观	32519.5425
侯观	325194.542535
侯观胜	32519.5425.363
侯观胜	325194.542535.36371
侯览	32519.223145
侯览	325194.223145
侯讽	32519.40353
侯讽	325194.403534
侯诚之	32519.4013.454
侯诚之	325194.401354.454
侯谦芳	32519.40430.1760
侯谦芳	325194.404304.1760
侯谨	32519.4018
侯谨	325194.4018
侯豫瞻	32519.54358.82353
侯豫瞻	325194.543584.823530
侯贵丁	32519.8021.12
侯贵丁	325194.802128.12
侯赓言	32519.470138.40
侯赓言	325194.470138.40
侯赟	32519.66112
侯赟	325194.661128
侯赢	32519.4136
侯赢	325194.413624
侯起龙	32519.765.13534
侯起龙	325194.76515.13534
侯进忠	32519.784.80265
侯进忠	325194.78454.80265
侯选	32519.3193
侯选	325194.319354
侯造	32519.3198
侯造	325194.319804
侯道济	32519.4338.44663
侯道济	325194.433824.446632
侯遗	32519.80212
侯遗	325194.802124
侯重光	32519.318.24
侯重光	325194.318121.2435
侯野	32519.8121
侯野	325194.812114
侯钺	32519.91155
侯钺	325194.911554
侯铮石	32519.91350.14
侯铮石	325194.913502.14
侯锺	32519.913181
侯锺	325194.913181
侯长容	32519.3154.4694
侯长容	325194.3154.4694
侯长青	32519.3154.71
侯长青	325194.3154.712511
侯陈泰	32519.5215.732
侯陈泰	325194.521524.732414
侯陟	32519.5221
侯陟	325194.522123
侯震旸	32519.1613.81533
侯震旸	325194.161314.81533
侯霸	32519.1618
侯霸	325194.161836
侯静波	32519.712.4453
侯静波	325194.712512.445324
侯音	32519.6181
侯音	325194.6181
侯高俊杰	32519.418.325430.1269
侯高俊杰	325194.4180.325430.1269
侯鸿英	32519.441216.172
侯鸿英	325194.441216.172514
侯鹄	32519.319806
侯鹄	325194.319806
侯龙恩	32519.13534.251345
侯龙恩	325194.13534.251345
侵略如火	32014.839.598.69
侵略如火	320144.839080.5980.69
侻征	324385.33121
便利商店	32181.922.6134.472
便利商店	321814.9222.613480.472180
便雅悯王	32181.793.4942.11
便雅悯王	321814.793241.494266.11
俄何焼戈	323124.32180.691215.1534
俄何焼戈	323124.321802.691215.1534
俄松	323124.1234
俄松	323124.123454
俊宽	325430.4617
俊宽	325430.461725
俊棋	325430.1270
俊艿	325430.1753
保乐斋	3280.352.661
保乐斋	328012.35234.661322
保兴	3280.6434
保兴	328012.6434
保剑锋	3280.3416.919
保剑锋	328012.341642.919071
保加利亚人屠夫	3280.538.922.122.34.07193.1134
保加利亚人屠夫	328012.5380.9222.122.34.071931.1134
保加利亚文学	3280.538.922.122.66.64
保加利亚文学	328012.5380.9222.122.66.6458
保卢斯	3280.210.7033
保卢斯	328012.2107.7033
保卫边区	3280.521.5345.1345
保卫边区	328012.521.53454.1345
保大帝	3280.134.6125
保大帝	328012.134.6125
保存勋	3280.13258.80285
保存勋	328012.13258.802853
保学灏	3280.64.44814
保学灏	328012.6458.448148
保宁	3280.4612
保宁	328012.4612
保寿	3280.731
保寿	328012.73124
保尔	3280.3523
保尔	328012.35234
保巴	3280.5215
保巴	328012.5215
保希贤	3280.3413.22542
保希贤	328012.341325.225428
保恭	3280.18342
保恭	328012.183424
保春院	3280.73.524
保春院	328012.7381.524615
保田圭	3280.83.1919
保田圭	328012.83.1919
保甸	3280.3583
保甸	328012.3583
保科正俊	3280.924.121.325430
保科正俊	328012.924412.121.325430
保罗	3280.849
保罗	328012.8490
保罗加索尔	3280.849.538.1245.3523
保罗加索尔	328012.8490.5380.124554.35234
保罗因斯	3280.849.2513.7033
保罗因斯	328012.8490.251341.7033
保罗塞尚	3280.849.46781.2480
保罗塞尚	328012.8490.467819.2480
保罗安卡	3280.849.465.2124
保罗安卡	328012.8490.4659.2124
保罗安萨默尔森	3280.849.465.17526.861.3523.121212
保罗安萨默尔森	328012.8490.4659.175263.861344.35234.121212
保罗德尔沃	3280.849.3312.3523.4494
保罗德尔沃	328012.8490.331285.35234.4494
保罗波耶尔	3280.849.4453.7252.3523
保罗波耶尔	328012.8490.445324.7252.35234
保罗皮尔斯	3280.849.532.3523.7033
保罗皮尔斯	328012.8490.53254.35234.7033
保罗纽曼	3280.849.55521.8184
保罗纽曼	328012.8490.555211.818454
保罗艾伦	3280.849.1734.32343
保罗艾伦	328012.8490.1734.323435
保罗莫里哀	3280.849.1781.812.413534
保罗莫里哀	328012.8490.178114.81211.413534
保罗西蒙	3280.849.74.17451
保罗西蒙	328012.8490.74.174513
保至善	3280.15419.4324
保至善	328012.15419.432430
保莱塔	3280.17168.1917
保莱塔	328012.17168.191794
保辜	3280.19806
保辜	328012.198062
保逢泰	3280.907.732
保逢泰	328012.907144.732414
保阪尚希	3280.5233.2480.3413
保阪尚希	328012.523354.2480.341325
俞万春	341252.153.73
俞万春	341252.153.7381
俞丝	341252.55551
俞丽拿	341252.125425.949
俞丽拿	341252.125424.9497
俞之彦	341252.454.61333
俞之彦	341252.454.613333
俞云	341252.1154
俞云涛	341252.1154.4473
俞云涛	341252.1154.447314
俞云阶	341252.1154.52343
俞云阶	341252.1154.523432
俞仁夫	341252.3211.1134
俞仲几	341252.32802.35
俞仲麟	341252.32802.4768
俞仲麟	341252.32802.476892
俞仿连	341252.3260.774
俞仿连	341252.3260.77454
俞企贤	341252.3421.22542
俞企贤	341252.3421.225428
俞伟超	341252.321152.7653
俞伟超	341252.321152.765380
俞伯侨	341252.32381.3294
俞伯侨	341252.32381.329432
俞伯澄	341252.32381.4456
俞伯澄	341252.32381.445611
俞佐廷	341252.32131.31954
俞佐廷	341252.321311.31954
俞作柏	341252.32312.12381
俞作柏	341252.323121.12381
俞作豫	341252.32312.54358
俞作豫	341252.323121.543584
俞佳	341252.3219
俞佳	341252.321919
俞俊	341252.325430
俞修容	341252.322.4694
俞修容	341252.322903.4694
俞允文	341252.5435.66
俞元之	341252.1135.454
俞兆晟	341252.34153.81135
俞兆晟	341252.341534.811354
俞兆鹏	341252.34153.36369
俞兆鹏	341252.341534.363696
俞光蕙	341252.24.17181
俞光蕙	341252.2435.171815
俞八	341252.34
俞凝清	341252.41359.4471
俞凝清	341252.413598.447121
俞凤喈	341252.3554.801531
俞凰翰	341252.3538.128114
俞凰翰	341252.353811.128114
俞力工	341252.53.121
俞功懋	341252.12153.125415
俞原	341252.133
俞原	341252.133814
俞友仁	341252.1354.3211
俞可欣	341252.18.3335
俞可欣	341252.1802.333534
俞可进	341252.18.784
俞可进	341252.1802.78454
俞同奎	341252.25.134199
俞同奎	341252.25180.134199
俞君实	341252.01380.464
俞君实	341252.01380.464414
俞启慧	341252.678.717
俞启慧	341252.6780.717105
俞和	341252.9
俞和	341252.9280
俞和盛	341252.9.13553
俞和盛	341252.9280.135534
