一万八千	1.153.34.312
一分为三	1.3453.4354.111
一分为二	1.345.4.11
一分为二	1.3453.4354.11
一分为四	1.345.4.84
一分为四	1.3453.4354.84
一切从严	1.1553.3434.1223
一切众生	1.1553.34343.371
一切众生	1.1553.343434.371
一切工作	1.1553.121.32312
一切工作	1.1553.121.323121
一则以喜	1.282.543.7980
一则以喜	1.2822.5434.7980
一到晚上	1.154.813.21
一到晚上	1.154192.813585.21
一到这里	1.154.6.812
一到这里	1.154192.66454.81211
一到那里	1.154.51.812
一到那里	1.154192.5152.81211
一刻千金	1.41533.312.91
一刻千金	1.415332.312.91
一前一后	1.4325.1.331
一前一后	1.432512.1.33180
一剪下去	1.43251.124.1954
一剪下去	1.432513.124.1954
一副对联	1.1808.541.724
一副对联	1.180832.54124.724334
一副手套	1.1808.97.1347
一副手套	1.180832.97.13478
一副楹联	1.1808.12535.724
一副楹联	1.180832.125354.724334
一副笑脸	1.1808.379.3634
一副笑脸	1.180832.3794.363414
一动不动	1.11545.1324.11545
一动不动	1.115453.1324.115453
一劳永逸	1.17455.455.358034
一劳永逸	1.174553.45534.358034
一匡天下	1.1115.1134.124
一千块钱	1.312.1951.911
一千块钱	1.312.195134.911154
一千多亿	1.312.909.325
一千多亿	1.312.9090.325
一千多块	1.312.909.1951
一千多块	1.312.9090.195134
一千多年	1.312.909.311
一千多年	1.312.9090.311212
一厢情愿	1.13128.497.1338
一厢情愿	1.131282.497121.133815
一去不回	1.1954.1324.258
一去不回	1.1954.1324.25801
一双拖鞋	1.5454.103155.1819
一双拖鞋	1.5454.103155.181919
一双皮鞋	1.5454.532.1819
一双皮鞋	1.5454.53254.181919
一双袜子	1.5454.6311.58
一双袜子	1.5454.63112.58
一双鞋子	1.5454.1819.58
一双鞋子	1.5454.181919.58
一反常态	1.3354.242.13446
一反常态	1.3354.2425.134465
一发千钧	1.535.312.913541
一发千钧	1.53544.312.913541
一发子弹	1.535.58.5743
一发子弹	1.53544.58.574382
一口一声	1.80.1.1952
一口一声	1.80.1.195213
一口咬定	1.80.806.467
一口咬定	1.80.806634.4676
一只小鸟	1.803.234.96
一只小鸟	1.8034.234.96
一只眼睛	1.803.820.827
一只眼睛	1.8034.8203.827121
一只耳朵	1.803.72.3512
一只耳朵	1.8034.72.3512
一只股票	1.803.36355.741
一只股票	1.8034.363554.741124
一只虫子	1.803.26.58
一只虫子	1.8034.26.58
一台机器	1.548.1235.80801
一台机器	1.5480.1235.808010
一台电脑	1.548.815.3641
一台电脑	1.5480.815.364132
一台设备	1.548.40355.9083
一台设备	1.5480.403554.9083
一叶扁舟	1.8012.6725.93
一叶扁舟	1.8012.672517.93
一叶知秋	1.8012.9480.926
一叶知秋	1.8012.9480.9269
一叶蔽目	1.8012.17689.82
一叶蔽目	1.8012.176890.82
一叶障目	1.8012.52618.82
一叶障目	1.8012.526182.82
一吐为快	1.8019.4.495
一吐为快	1.8019.4354.495134
一向不会	1.3258.1324.341
一向不会	1.32580.1324.341154
一向不能	1.3258.1324.5
一向不能	1.32580.1324.542515
一向以来	1.3258.543.168
一向以来	1.32580.5434.168
一员大将	1.8028.134.4129
一员大将	1.8028.134.412904
一周一次	1.3519.1.41353
一周一次	1.351980.1.413534
一周七天	1.3519.15.1134
一周七天	1.351980.15.1134
一呼百应	1.80343.1381.476
一呼百应	1.803432.1381.4764
一命呜呼	1.3418.80355.80343
一命呜呼	1.341802.803551.803432
一命归西	1.3418.230.74
一命归西	1.341802.2301.74
一哄而上	1.80183.1325.21
一哄而上	1.801834.132522.21
一哄而散	1.80183.1325.182
一哄而散	1.801834.132522.182510
一哄而起	1.80183.1325.765
一哄而起	1.801834.132522.76515
一唱一和	1.80818.1.9
一唱一和	1.808181.1.9280
一唱三叹	1.80818.111.8054
一唱三叹	1.808181.111.8054
一唱百和	1.80818.1381.9
一唱百和	1.808181.1381.9280
一团和气	1.25123.9.97
一团和气	1.251231.9280.97
一团漆黑	1.25123.44123.86
一团漆黑	1.251231.441234.86
一国三公	1.2.111.3454
一国三公	1.251141.111.3454
一国两制	1.2.1253.3112
一国两制	1.251141.125344.311252
一场春梦	1.1953.73.12129
一场春梦	1.19533.7381.121290
一场比赛	1.1953.1535.4678
一场比赛	1.19533.1535.467828
一场虚惊	1.1953.872.494
一场虚惊	1.19533.8722.494124
一坐下去	1.343.124.1954
一坐下去	1.343419.124.1954
一塌糊涂	1.19810.6812.4434
一塌糊涂	1.198104.681286.443412
一墙之隔	1.1912.454.52180
一墙之隔	1.191241.454.521802
一声不吭	1.1952.1324.804135
一声不吭	1.195213.1324.804135
一声不响	1.1952.1324.8032
一声不响	1.195213.1324.803250
一声令下	1.1952.34454.124
一声令下	1.195213.34454.124
一夜之间	1.4132.454.4281
一夜之间	1.413290.454.4281
一夜没睡	1.4132.443.823
一夜没睡	1.413290.443554.823121
一夜白头	1.4132.381.4413
一夜白头	1.413290.381.44134
一夜都在	1.4132.193.132
一夜都在	1.413290.193812.13219
一大一小	1.134.1.234
一天一地	1.1134.1.195
一天一地	1.1134.1.19525
一天两天	1.1134.1253.1134
一天两天	1.1134.125344.1134
一天到晚	1.1134.154.813
一天到晚	1.1134.154192.813585
一天晚上	1.1134.813.21
一天晚上	1.1134.813585.21
一夫当关	1.1134.240.4334
一夫当关	1.1134.2401.4334
一头撞到	1.4413.10618.154
一头撞到	1.44134.106181.154192
一头栽进	1.4413.19125.784
一头栽进	1.44134.191254.78454
一头雾水	1.4413.1690.253
一头雾水	1.44134.169053.2534
一好百好	1.595.1381.595
一好百好	1.5958.1381.5958
一如既往	1.598.03.3341
一如既往	1.5980.031535.33411
一孔之见	1.585.454.2535
一字一句	1.4658.1.3580
一字一板	1.4658.1.1233
一字一板	1.4658.1.123354
一字不漏	1.4658.1324.4407
一字不漏	1.4658.1324.440716
一字不苟	1.4658.1324.173580
一字之差	1.4658.454.4312
一字之差	1.4658.454.43121
一字之师	1.4658.454.231
一字之师	1.4658.454.23125
一字千金	1.4658.312.91
一字千钧	1.4658.312.913541
一字排开	1.4658.1023.78
一官半职	1.462.432.728
一官半职	1.462511.432.728034
一定不会	1.467.1324.341
一定不会	1.4676.1324.341154
一定不是	1.467.1324.8
一定不是	1.4676.1324.8176
一定不能	1.467.1324.5
一定不能	1.4676.1324.542515
一定不要	1.467.1324.7
一定不要	1.4676.1324.7459
一定之规	1.467.454.11342
一定之规	1.4676.454.113425
一定可以	1.467.18.543
一定可以	1.4676.1802.5434
一定程度	1.467.92801.4718
一定程度	1.4676.928011.471854
一定能够	1.467.5.35809
一定能够	1.4676.542515.358090
一室一厅	1.4615.1.1312
一室一厅	1.461549.1.1312
一家之言	1.46.454.40
一家之言	1.4613.454.40
一家老小	1.46.1933.234
一家老小	1.4613.19335.234
一寸丹心	1.124.3541.65
一将难求	1.4129.5432.1241
一将难求	1.412904.543241.124134
一小会儿	1.234.341.35
一小会儿	1.234.341154.35
一小部分	1.234.6180.345
一小部分	1.234.618052.3453
一尘不染	1.23419.1324.44351
一尘不染	1.23419.1324.443512
一己之私	1.515.454.9254
一己之见	1.515.454.2535
一帆风顺	1.25354.353.3221
一帆风顺	1.25354.3534.322138
一带一路	1.174.1.299
一带一路	1.174525.1.299080
一席之地	1.47182.454.195
一席之地	1.471825.454.19525
一干二净	1.112.11.41350
一干二净	1.112.11.413501
一年一度	1.311.1.4718
一年一度	1.311212.1.471854
一年以前	1.311.543.4325
一年以前	1.311212.5434.432512
一年以后	1.311.543.331
一年以后	1.311212.5434.33180
一年到头	1.311.154.4413
一年到头	1.311212.154192.44134
一年半载	1.311.432.197
一年半载	1.311212.432.197754
一年四季	1.311.84.9258
一年四季	1.311212.84.9258
一年多来	1.311.909.168
一年多来	1.311212.9090.168
一并呈上	1.4378.8011.21
一并处理	1.4378.9024.118
一并处理	1.4378.9024.118121
一应俱全	1.476.3227.3411
一应俱全	1.4764.322734.3411
一府两院	1.4732.1253.524
一府两院	1.473214.125344.524615
一开单控	1.78.4381.10461
一开单控	1.78.438112.104611
一开双控	1.78.5454.10461
一开双控	1.78.5454.104611
一开多控	1.78.909.10461
一开多控	1.78.9090.104611
一式三份	1.11215.111.32345
一式三份	1.112154.111.323453
一式两份	1.11215.1253.32345
一式两份	1.112154.125344.323453
一张一弛	1.57.1.5752
一张一弛	1.573154.1.57525
一张一翕	1.57.1.940
一张一翕	1.573154.1.9404
一往情深	1.3341.497.4445
一往情深	1.33411.497121.444512
一往无前	1.3341.113.4325
一往无前	1.33411.1135.432512
一往直前	1.3341.1227.4325
一往直前	1.33411.1227.432512
一往而深	1.3341.1325.4445
一往而深	1.33411.132522.444512
一得之功	1.338.454.12153
一得之功	1.338114.454.12153
一得之愚	1.338.454.81252
一得之愚	1.338114.454.812525
一得之见	1.338.454.2535
一得之见	1.338114.454.2535
一德一心	1.3312.1.65
一德一心	1.331285.1.65
一心一德	1.65.1.3312
一心一德	1.65.1.331285
一心一意	1.65.1.618
一心一意	1.65.1.618165
一心为公	1.65.4.3454
一心为公	1.65.4354.3454
一心二用	1.65.11.351
一心二用	1.65.11.35112
一忍再忍	1.5346.1252.5346
一忍再忍	1.53465.125211.53465
一念之差	1.34456.454.4312
一念之差	1.344565.454.43121
一念之间	1.34456.454.4281
一念之间	1.344565.454.4281
一怒之下	1.59546.454.124
一怒之下	1.595465.454.124
一息尚存	1.38265.2480.13258
一悲一喜	1.236.1.7980
一悲一喜	1.2365.1.7980
一意孤行	1.618.583.3311
一意孤行	1.618165.583354.33112
一成不变	1.135.1324.665
一成不变	1.135534.1324.6654
一户一表	1.67.1.713
一户一表	1.67.1.713534
一扇窗户	1.670.463.67
一扇窗户	1.6704.463251.67
一手一脚	1.97.1.361
一手一脚	1.97.1.361952
一手包办	1.97.355.5344
一手包办	1.97.35515.5344
一手包揽	1.97.355.1022
一手包揽	1.97.35515.102235
一手好字	1.97.595.4658
一手好字	1.97.5958.4658
一手好牌	1.97.595.3238
一手好牌	1.97.5958.323812
一手托天	1.97.10315.1134
一手遮天	1.97.47186.1134
一手遮天	1.97.471864.1134
一扫而光	1.1001.1325.24
一扫而光	1.1001.132522.2435
一扫而空	1.1001.1325.4612
一扫而空	1.1001.132522.46121
一技之长	1.10125.454.3154
一技之长	1.101254.454.3154
一把青菜	1.10.71.1739
一把青菜	1.105215.712511.173912
一抔黄土	1.10132.188.19
一抔黄土	1.101324.188334.19
一拍即合	1.1038.0.94
一拍即合	1.10381.0352.94
一拖再拖	1.103155.1252.103155
一拖再拖	1.103155.125211.103155
一拥而上	1.10351.1325.21
一拥而上	1.103512.132522.21
一拥而入	1.10351.1325.34
一拥而入	1.103512.132522.34
一挥而就	1.1045.1325.41
一挥而就	1.104577.132522.412344
一掷千金	1.10433.312.91
一掷千金	1.104332.312.91
一掷百万	1.10433.1381.153
一掷百万	1.104332.1381.153
一改以往	1.5159.543.3341
一改以往	1.51590.5434.33411
一改当年	1.5159.240.311
一改当年	1.51590.2401.311212
一改故辙	1.5159.12809.7741
一改故辙	1.51590.128090.774150
一整个月	1.18023.342.36
一整个月	1.180231.342.36
一文不值	1.66.1324.32122
一文不值	1.66.1324.321227
一文不名	1.66.1324.90
一文不名	1.66.1324.9080
一斤蔬菜	1.33.170.1739
一斤蔬菜	1.33.170845.173912
一斤青菜	1.33.71.1739
一斤青菜	1.33.712511.173912
一无可取	1.113.18.725
一无可取	1.1135.1802.7254
一无所取	1.113.335.725
一无所取	1.1135.335133.7254
一无所得	1.113.335.338
一无所得	1.1135.335133.338114
一无所成	1.113.335.135
一无所成	1.1135.335133.135534
一无所有	1.113.335.13
一无所有	1.1135.335133.132511
一无所求	1.113.335.1241
一无所求	1.1135.335133.124134
一无所知	1.113.335.9480
一无所知	1.1135.335133.9480
一无所能	1.113.335.5
一无所能	1.1135.335133.542515
一无所获	1.113.335.1738
一无所获	1.1135.335133.173814
一无所长	1.113.335.3154
一无所长	1.1135.335133.3154
一无是处	1.113.8.9024
一无是处	1.1135.8176.9024
一日万里	1.81.153.812
一日万里	1.81.153.81211
一日三省	1.81.111.23438
一日三省	1.81.111.234382
一日三秋	1.81.111.926
一日三秋	1.81.111.9269
一日三餐	1.81.111.219
一日三餐	1.81.111.219050
一日不见	1.81.1324.2535
一日千里	1.81.312.812
一日千里	1.81.312.81211
一旦失误	1.811.3113.4080
一旦失误	1.811.31134.408014
一旦错过	1.811.9118.1244
一旦错过	1.811.911881.124454
一时一事	1.811.1.180
一时一事	1.81124.1.180012
一时一刻	1.811.1.41533
一时一刻	1.81124.1.415332
一时三刻	1.811.111.41533
一时三刻	1.81124.111.415332
一时之选	1.811.454.3193
一时之选	1.81124.454.319354
一时冲动	1.811.41802.11545
一时冲动	1.81124.41802.115453
一时匆忙	1.811.35334.4941
一时匆忙	1.81124.35334.49415
一时半会	1.811.432.341
一时半会	1.81124.432.341154
一时半刻	1.811.432.41533
一时半刻	1.81124.432.415332
一时性起	1.811.49.765
一时性起	1.81124.49371.76515
一时糊涂	1.811.6812.4434
一时糊涂	1.81124.681286.443412
一时起意	1.811.765.618
一时起意	1.81124.76515.618165
一星半点	1.8137.432.218
一星半点	1.81371.432.218069
一暴一寒	1.8118.1.46784
一暴一寒	1.811834.1.467844
一暴十寒	1.8118.12.46784
一暴十寒	1.811834.12.467844
一曝十寒	1.81811.12.46784
一曝十寒	1.818114.12.467844
一有时间	1.13.811.4281
一有时间	1.132511.81124.4281
一服中药	1.365.802.1755
一服中药	1.365254.802.175534
一望无垠	1.4153.113.190
一望无垠	1.415361.1135.1903
一望无边	1.4153.113.5345
一望无边	1.415361.1135.53454
一望无际	1.4153.113.52112
一望无际	1.415361.1135.521124
一望而知	1.4153.1325.9480
一望而知	1.415361.132522.9480
一朝一夕	1.128.1.90
一朝一夕	1.128116.1.90
一木难支	1.12.5432.1254
一木难支	1.12.543241.1254
一本万利	1.121.153.922
一本万利	1.121.153.9222
一本正经	1.121.121.55
一本正经	1.121.121.555411
一束鲜花	1.180234.954.17
一束鲜花	1.180234.954312.173235
一条新闻	1.901.611.427
一条新闻	1.9012.611233.4272
一来一往	1.168.1.3341
一来一往	1.168.1.33411
一来二去	1.168.11.1954
一杯咖啡	1.1213.80538.8023
一杯咖啡	1.121324.805380.8023
一板一眼	1.1233.1.820
一板一眼	1.123354.1.8203
一枕黄粱	1.12453.188.445348
一枕黄粱	1.124535.188334.445348
一枝独秀	1.12125.3826.9253
一枝独秀	1.121254.3826.9253
一架飞机	1.53801.534.1235
一架飞机	1.538012.534.1235
一柱擎天	1.12411.173587.1134
一样不是	1.1243.1324.8
一样不是	1.12432.1324.8176
一样没有	1.1243.443.13
一样没有	1.12432.443554.132511
一根头发	1.120.4413.535
一根头发	1.1203.44134.53544
一根木头	1.120.12.4413
一根木头	1.1203.12.44134
一桌宾客	1.2181.4698.469
一桌宾客	1.218112.469834.469080
一桌酒席	1.2181.447.47182
一桌酒席	1.218112.4475.471825
一桌饭菜	1.2181.303.1739
一桌饭菜	1.218112.303354.173912
一桩往事	1.1247.3341.180
一桩往事	1.124719.33411.180012
一概不用	1.12031.1324.351
一概不用	1.120315.1324.35112
一概不能	1.12031.1324.5
一概不能	1.120315.1324.542515
一概而论	1.12031.1325.40343
一概而论	1.120315.132522.403435
一模一样	1.1217.1.1243
一模一样	1.121784.1.12432
一次方程	1.41353.60.92801
一次方程	1.413534.60.928011
一步一步	1.212.1.212
一步一步	1.21233.1.21233
一步之遥	1.212.454.399
一步之遥	1.21233.454.399244
一步到位	1.212.154.3261
一步到位	1.21233.154192.3261
一步步走	1.212.212.76
一步步走	1.21233.21233.76
一步登天	1.212.561.1134
一步登天	1.21233.561801.1134
一段文字	1.98.66.4658
一段时间	1.98.811.4281
一段时间	1.98.81124.4281
一毛不拔	1.97.1324.1013
一毛不拔	1.97.1324.101354
一气之下	1.97.454.124
一气呵成	1.97.8018.135
一气呵成	1.97.801802.135534
一氧化氮	1.974.3235.9769
一氧化氮	1.974312.3235.976969
一氧化碳	1.974.3235.1420
一氧化碳	1.974312.3235.142019
一水之隔	1.253.454.52180
一水之隔	1.2534.454.521802
一江春水	1.44121.73.253
一江春水	1.44121.7381.2534
一泓秋水	1.44575.926.253
一泓秋水	1.445754.9269.2534
一波三折	1.4453.111.1033
一波三折	1.445324.111.1033
一波又起	1.4453.54.765
一波又起	1.445324.54.76515
一波未平	1.4453.112.143
一波未平	1.445324.112.1432
一泻千里	1.44451.312.812
一泻千里	1.444511.312.81211
一清二楚	1.4471.11.12120
一清二楚	1.447121.11.121208
一清二白	1.4471.11.381
一清二白	1.447121.11.381
一滴眼泪	1.4461.820.4482
一滴眼泪	1.446110.8203.4482
一潭死水	1.44748.1335.253
一潭死水	1.447482.1335.2534
一炮打响	1.693.1012.8032
一炮打响	1.693555.1012.803250
一炮而红	1.693.1325.551
一炮而红	1.693555.132522.55121
一点一滴	1.218.1.4461
一点一滴	1.218069.1.446110
一点不像	1.218.1324.32358
一点不像	1.218069.1324.323584
一点也不	1.218.525.1324
一点也不	1.218069.525.1324
一点也没	1.218.525.443
一点也没	1.218069.525.443554
一点半点	1.218.432.218
一点半点	1.218069.432.218069
一点声音	1.218.1952.6181
一点声音	1.218069.195213.6181
一点好处	1.218.595.9024
一点好处	1.218069.5958.9024
一点没有	1.218.443.13
一点没有	1.218069.443554.132511
一点用处	1.218.351.9024
一点用处	1.218069.35112.9024
一片丹心	1.32.3541.65
一片冰心	1.32.41253.65
一片冰心	1.32.412534.65
一片汪洋	1.32.4411.4443
一片汪洋	1.32.4411.44432
一片焦土	1.32.324719.19
一物不知	1.313.1324.9480
一物不知	1.313533.1324.9480
一班人马	1.1143.34.50
一班人马	1.114311.34.50
一瓣心香	1.61335.65.9281
一瓣心香	1.613352.65.9281
一生一世	1.371.1.185
一男半女	1.835.432.59
一男半女	1.8353.432.59
一画开天	1.183.78.1134
一画开天	1.18352.78.1134
一病不起	1.48.1324.765
一病不起	1.481254.1324.76515
一瘸一拐	1.48538.1.10805
一瘸一拐	1.485384.1.108053
一百几十	1.1381.35.12
一百多块	1.1381.909.1951
一百多块	1.1381.9090.195134
一盘散沙	1.938.182.442
一盘散沙	1.9384.182510.442343
一目了然	1.82.52.9013
一目了然	1.82.52.901349
一目十行	1.82.12.3311
一目十行	1.82.12.33112
一直以来	1.1227.543.168
一直以来	1.1227.5434.168
一直喊着	1.1227.8013.43
一直喊着	1.1227.801314.4382
一直在看	1.1227.132.978
一直在看	1.1227.13219.9782
一直没有	1.1227.443.13
一直没有	1.1227.443554.132511
一直连到	1.1227.774.154
一直连到	1.1227.77454.154192
一看见他	1.978.2535.325
一看见他	1.9782.2535.32525
一看见你	1.978.2535.32
一看见你	1.9782.2535.323524
一看见她	1.978.2535.5952
一看见她	1.9782.2535.59525
一看见我	1.978.2535.31
一看见我	1.9782.2535.312154
一着不慎	1.43.1324.49122
一着不慎	1.4382.1324.491224
一瞑不视	1.82458.1324.6225
一瞑不视	1.824586.1324.622535
一瞬即逝	1.82394.0.103344
一瞬即逝	1.823942.0352.103344
一知半解	1.9480.432.3553
一知半解	1.9480.432.355331
一石两鸟	1.14.1253.96
一石两鸟	1.14.125344.96
一石二鸟	1.14.11.96
一碧万顷	1.1138.153.1513
一碧万顷	1.113814.153.151328
一碧千里	1.1138.312.812
一碧千里	1.113814.312.81211
一穷二白	1.4653.11.381
一窍不通	1.46121.1324.542
一窍不通	1.461215.1324.542514
一笑一颦	1.379.1.212332
一笑一颦	1.3794.1.212332
一笑了之	1.379.52.454
一笑了之	1.3794.52.454
一笑千金	1.379.312.91
一笑千金	1.3794.312.91
一笑置之	1.379.8412.454
一笑置之	1.3794.841227.454
一笑而过	1.379.1325.1244
一笑而过	1.3794.132522.124454
一笔勾销	1.3797.3554.91241
一笔勾销	1.3797.3554.912411
一笔抹杀	1.3797.10112.3412
一笔抹煞	1.3797.10112.35019
一笔抹煞	1.3797.10112.350199
一筹莫展	1.377.1781.0718
一筹莫展	1.377314.178114.071854
一箭之地	1.3743.454.195
一箭之地	1.374322.454.19525
一箭之遥	1.3743.454.399
一箭之遥	1.374322.454.399244
一箭双雕	1.3743.5454.35198
一箭双雕	1.374322.5454.351981
一级企业	1.55354.3421.22
一级市场	1.55354.4125.1953
一级市场	1.55354.4125.19533
一纸空文	1.553.4612.66
一纸空文	1.553515.46121.66
一线之隔	1.5511.454.52180
一线之隔	1.551154.454.521802
一线城市	1.5511.1913.4125
一线城市	1.551154.191354.4125
一线希望	1.5511.3413.4153
一线希望	1.551154.341325.415361
一线生机	1.5511.371.1235
一线生机	1.551154.371.1235
一经发现	1.55.535.1125
一经发现	1.555411.53544.112535
一统天下	1.5541.1134.124
一统天下	1.554155.1134.124
一网打尽	1.25343.1012.07
一网打尽	1.253434.1012.07444
一翻过来	1.368.1244.168
一翻过来	1.368834.124454.168
一股脑儿	1.36355.3641.35
一股脑儿	1.363554.364132.35
一脉相传	1.3645.1282.32115
一脉相传	1.364554.1282.321154
一脉相承	1.3645.1282.5853
一脉相承	1.364554.1282.58534
一脉相通	1.3645.1282.542
一脉相通	1.364554.1282.542514
一脚怒射	1.361.59546.991
一脚怒射	1.361952.595465.99124
一腔热血	1.3646.103.384
一腔热血	1.364611.103549.384
一臂之力	1.07251.454.53
一臂之力	1.072511.454.53
一致同意	1.1541.25.618
一致同意	1.154190.25180.618165
一致对外	1.1541.541.902
一致对外	1.154190.54124.9024
一致意见	1.1541.618.2535
一致意见	1.154190.618165.2535
一致认为	1.1541.4034.4
一致认为	1.154190.4034.4354
一致通过	1.1541.542.1244
一致通过	1.154190.542514.124454
一般一般	1.933.1.933
一般一般	1.933554.1.933554
一般不会	1.933.1324.341
一般不会	1.933554.1324.341154
一般地说	1.933.195.40
一般地说	1.933554.19525.404385
一般情况	1.933.497.41803
一般情况	1.933554.497121.418035
一般来说	1.933.168.40
一般来说	1.933554.168.404385
一般水平	1.933.253.143
一般水平	1.933554.2534.1432
一般的说	1.933.3.40
一般的说	1.933554.381354.404385
一般而已	1.933.1325.515
一般而已	1.933554.132522.515
一般而论	1.933.1325.40343
一般而论	1.933554.132522.403435
一般见识	1.933.2535.408
一般见识	1.933554.2535.408034
一般说来	1.933.40.168
一般说来	1.933554.404385.168
一花独放	1.17.3826.609
一花独放	1.173235.3826.6090
一草一木	1.178.1.12
一草一木	1.178112.1.12
一落千丈	1.1744.312.134
一落千丈	1.174490.312.134
一蓬竹子	1.17907.37.58
一蓬竹子	1.179074.37.58
一衣带水	1.413.174.253
一衣带水	1.413534.174525.2534
一表人才	1.713.34.123
一表人才	1.713534.34.123
一见倾心	1.2535.32151.65
一见倾心	1.2535.321518.65
一见如故	1.2535.598.12809
一见如故	1.2535.5980.128090
一见钟情	1.2535.918.497
一见钟情	1.2535.91802.497121
一视同仁	1.6225.25.3211
一视同仁	1.622535.25180.3211
一览无余	1.223145.113.34112
一览无余	1.223145.1135.34112
一览无遗	1.223145.113.80212
一览无遗	1.223145.1135.802124
一觉醒来	1.642.758.168
一觉醒来	1.642535.758131.168
一触即发	1.3526.0.535
一触即发	1.3526.0352.53544
一触即溃	1.3526.0.44802
一触即溃	1.3526.0352.448028
一触即跳	1.3526.0.293
一触即跳	1.3526.0352.293414
一言一行	1.40.1.3311
一言一行	1.40.1.33112
一言不发	1.40.1324.535
一言不发	1.40.1324.53544
一言中的	1.40.802.3
一言中的	1.40.802.381354
一言为定	1.40.4.467
一言为定	1.40.4354.4676
一言九鼎	1.40.35.8251
一言九鼎	1.40.35.825135
一言兴邦	1.40.6434.7352
一言半语	1.40.432.4012
一言半语	1.40.432.401250
一言既出	1.40.03.02
一言既出	1.40.031535.02
一言蔽之	1.40.17689.454
